acorn,year,month,avg_morning,avg_afternoon,avg_evening,avg_night,avg_total_consumption
ACORN-A,2013,1,5.731824029,4.061329188,5.835167779,7.609682642,23.23800364
ACORN-A,2013,2,5.535563605,3.716452721,5.21842585,7.406153062,21.87659524
ACORN-A,2013,3,5.525167432,3.790056321,5.18292256,7.458671261,21.95681757
ACORN-A,2013,4,5.042833494,3.072963929,4.065233816,5.841882446,18.02291369
ACORN-A,2013,5,4.478710059,2.597811896,3.517113672,5.197131735,15.79076736
ACORN-A,2013,6,4.134944211,2.458839729,3.17585682,4.95316801,14.72280877
ACORN-A,2013,7,3.70046166,2.165475487,2.727215902,4.829953803,13.42310685
ACORN-A,2013,8,3.757157962,2.197784044,2.967763217,4.817451458,13.74015668
ACORN-A,2013,9,4.323715462,2.582863502,3.867025717,5.010876031,15.78448071
ACORN-A,2013,10,4.616502086,2.754486044,4.315787296,5.157666666,16.84444209
ACORN-A,2013,11,5.033807745,3.475975183,5.117837195,6.666065189,20.29368531
ACORN-A,2013,12,5.335183673,3.797821592,5.314665898,6.986537525,21.43420869
ACORN-B,2013,1,3.480141011,2.371796897,3.747795602,4.452047867,14.05178138
ACORN-B,2013,2,3.345087208,2.163433139,3.305181689,4.108360466,12.9220625
ACORN-B,2013,3,3.738124491,2.435571041,3.473925576,4.498874153,14.14649526
ACORN-B,2013,4,3.248595537,1.987811715,2.700659692,3.61695258,11.55401952
ACORN-B,2013,5,3.075726045,1.826240216,2.527375168,3.290789473,10.7201309
ACORN-B,2013,6,2.874905898,1.740783707,2.352544944,3.198068821,10.16630337
ACORN-B,2013,7,2.555964723,1.555559024,2.027940299,3.069987788,9.209451833
ACORN-B,2013,8,2.554681511,1.493155196,2.08963023,3.07811606,9.215582997
ACORN-B,2013,9,3.148247568,1.968069541,2.963938803,3.397995828,11.47825174
ACORN-B,2013,10,3.263154573,1.989553763,3.220923387,3.616416667,12.09004839
ACORN-B,2013,11,3.410981842,2.347175976,3.604497207,4.361891061,13.72454609
ACORN-B,2013,12,3.706426367,2.749276296,3.959307151,4.808367462,15.22337728
ACORN-C,2013,1,3.693627229,2.613694215,3.886617224,4.389174423,14.58311309
ACORN-C,2013,2,3.565324337,2.382413735,3.550754216,4.233928434,13.73242072
ACORN-C,2013,3,3.495545853,2.34199803,3.323511928,4.173222806,13.33427862
ACORN-C,2013,4,3.250683295,1.966872998,2.737712586,3.447930664,11.40319954
ACORN-C,2013,5,2.96321048,1.790609423,2.398397621,3.252782915,10.40500044
ACORN-C,2013,6,2.759438452,1.698751308,2.209706712,3.17201843,9.839914903
ACORN-C,2013,7,2.678015011,1.642133333,2.083886092,3.276107506,9.680141943
ACORN-C,2013,8,2.636323588,1.626397563,2.2088567,3.193604651,9.665182503
ACORN-C,2013,9,2.928048848,1.809403917,2.764324423,3.320892166,10.82266935
ACORN-C,2013,10,3.074321599,1.888534863,3.0419062,3.356911878,11.36167454
ACORN-C,2013,11,3.241665183,2.18002179,3.488166354,3.949247188,12.85910051
ACORN-C,2013,12,3.574928902,2.558424038,3.696668596,4.284915933,14.11493747
ACORN-D,2013,1,4.309611471,2.964082791,4.460674763,5.611941385,17.34631041
ACORN-D,2013,2,4.339808746,2.852377917,4.219992605,5.521656382,16.93383565
ACORN-D,2013,3,4.152219902,2.806189691,3.933414437,5.510110816,16.40193485
ACORN-D,2013,4,3.67271661,2.215263742,3.084396336,4.2272365,13.19961319
ACORN-D,2013,5,3.313568057,2.003397359,2.681222924,3.852467811,11.85065615
ACORN-D,2013,6,3.058744535,1.869212707,2.396832347,3.625416234,10.95020582
ACORN-D,2013,7,2.758590609,1.699684167,2.093896767,3.488322912,10.04049445
ACORN-D,2013,8,2.646993851,1.636608207,2.13456386,3.342760052,9.76092597
ACORN-D,2013,9,3.147961016,1.896799103,2.884000249,3.712189812,11.64095018
ACORN-D,2013,10,3.459947414,2.104611576,3.363955665,3.970402463,12.89891712
ACORN-D,2013,11,3.680450828,2.442040637,3.924062293,4.90019656,14.94675032
ACORN-D,2013,12,3.857534807,2.733158105,4.056991001,5.094220097,15.74190401
ACORN-E,2013,1,3.263802819,2.242552651,3.122438044,4.762006649,13.39080016
ACORN-E,2013,2,3.291113023,2.155220637,2.983533012,4.79389896,13.22376563
ACORN-E,2013,3,3.203805017,2.119618289,2.836195687,4.742480237,12.90209923
ACORN-E,2013,4,2.811091068,1.674004457,2.28246787,3.558803916,10.32636731
ACORN-E,2013,5,2.468489774,1.499994693,1.97275809,3.001083017,8.942325574
ACORN-E,2013,6,2.287876346,1.401702194,1.780251795,2.782025552,8.251855887
ACORN-E,2013,7,2.131272165,1.283319676,1.599090327,2.694333502,7.708015669
ACORN-E,2013,8,2.023084504,1.248844571,1.606265826,2.557281066,7.435475967
ACORN-E,2013,9,2.341796993,1.443815814,2.075737853,2.805543321,8.666893982
ACORN-E,2013,10,2.56012732,1.599935111,2.347170405,3.101734043,9.608966879
ACORN-E,2013,11,2.852147353,1.915406655,2.7757992,4.118422848,11.66177606
ACORN-E,2013,12,2.943166084,2.043744942,2.810147048,4.253238827,12.0502969
ACORN-F,2013,1,2.78198706,1.992860347,2.762709527,3.800316975,11.33787391
ACORN-F,2013,2,2.821721186,1.92718023,2.630244616,3.724145712,11.10329174
ACORN-F,2013,3,2.786008918,1.898531869,2.503209927,3.678769279,10.86651999
ACORN-F,2013,4,2.533601475,1.595850898,2.088130633,2.945733564,9.163316571
ACORN-F,2013,5,2.285117567,1.422543795,1.803957518,2.671605985,8.183224866
ACORN-F,2013,6,2.112441524,1.342368172,1.660754166,2.561695816,7.677259679
ACORN-F,2013,7,2.033226822,1.310389875,1.607557147,2.673490435,7.624664279
ACORN-F,2013,8,2.000933892,1.293995514,1.626170914,2.546293961,7.467394281
ACORN-F,2013,9,2.19273707,1.41873125,1.930539899,2.61504018,8.157048399
ACORN-F,2013,10,2.339258906,1.509057529,2.149174932,2.739525496,8.737016864
ACORN-F,2013,11,2.515320108,1.700656722,2.464483547,3.370739769,10.05120015
ACORN-F,2013,12,2.645513159,1.886486586,2.570740232,3.513634704,10.61637468
ACORN-G,2013,1,3.17261898,2.172738674,3.257511525,4.189633127,12.79250231
ACORN-G,2013,2,3.144384931,2.113023335,3.112809761,4.166944068,12.53716209
ACORN-G,2013,3,3.12190506,2.093982972,2.949479999,4.065558876,12.23092691
ACORN-G,2013,4,2.718925845,1.67286458,2.301965182,3.154577502,9.848333109
ACORN-G,2013,5,2.431146682,1.494822813,2.010952458,2.73781746,8.674739413
ACORN-G,2013,6,2.232710394,1.386083723,1.816992312,2.569752172,8.005538602
ACORN-G,2013,7,2.143161002,1.339145715,1.72773329,2.618578143,7.828618149
ACORN-G,2013,8,2.090002945,1.308883363,1.741018158,2.540433993,7.680338459
ACORN-G,2013,9,2.302462738,1.451077608,2.139611445,2.628917252,8.522069043
ACORN-G,2013,10,2.534612402,1.578715026,2.415995821,2.837319907,9.366643155
ACORN-G,2013,11,2.731829057,1.870504681,2.884479889,3.481998267,10.96881189
ACORN-G,2013,12,2.979036567,2.141136787,3.112928221,3.831449296,12.06455087
ACORN-H,2013,1,3.285413746,2.28553713,3.440500071,4.213330796,13.22478174
ACORN-H,2013,2,3.335259324,2.216578419,3.287051164,4.221383806,13.06027271
ACORN-H,2013,3,3.260539092,2.175153061,3.082951279,4.158770409,12.67741384
ACORN-H,2013,4,3.015238679,1.857329316,2.590457002,3.361682209,10.82470721
ACORN-H,2013,5,2.695182357,1.670293637,2.218515546,3.043173319,9.627164858
ACORN-H,2013,6,2.629192063,1.658422465,2.118710933,3.015323668,9.421649129
ACORN-H,2013,7,2.495794546,1.564489793,2.022427748,3.149465588,9.232177676
ACORN-H,2013,8,2.465105808,1.566053633,2.046466662,3.040181811,9.117807914
ACORN-H,2013,9,2.600768888,1.648984361,2.428929737,2.992615443,9.671298428
ACORN-H,2013,10,2.793867355,1.74094858,2.721455847,3.110272667,10.36654445
ACORN-H,2013,11,2.984405386,1.978145104,3.120217081,3.736944291,11.81971186
ACORN-H,2013,12,3.230387722,2.26785396,3.333905706,4.03037314,12.86252053
ACORN-I,2013,1,2.740379697,2.195862887,3.106698088,3.660564272,11.70350494
ACORN-I,2013,2,2.824445415,2.082365358,3.066651383,3.760746725,11.73420888
ACORN-I,2013,3,2.899692972,2.074465518,2.845271883,3.668851459,11.48828183
ACORN-I,2013,4,2.495272161,1.682283241,2.215689751,2.84479086,9.238036014
ACORN-I,2013,5,2.264136454,1.509239288,1.930240606,2.568539881,8.272156229
ACORN-I,2013,6,2.232478142,1.486903005,1.818345628,2.552060109,8.089786885
ACORN-I,2013,7,2.206680481,1.473129679,1.746385695,2.566429813,7.992625668
ACORN-I,2013,8,2.11568767,1.415851626,1.696400406,2.401394309,7.629334011
ACORN-I,2013,9,2.227558108,1.512594294,2.040625609,2.425437021,8.206215032
ACORN-I,2013,10,2.393869769,1.713374494,2.482337381,2.636106613,9.225688258
ACORN-I,2013,11,2.50725139,1.932956944,2.88530139,3.234912501,10.56042223
ACORN-I,2013,12,2.613551748,2.039105553,2.956483207,3.339656614,10.94879712
ACORN-J,2013,1,3.76436571,2.345339058,3.556406576,5.92147646,15.5875878
ACORN-J,2013,2,3.726097765,2.221111445,3.483097096,5.980736736,15.41104304
ACORN-J,2013,3,3.661779148,2.289114783,3.229591946,5.938497896,15.11898377
ACORN-J,2013,4,3.179896137,1.793336922,2.527568397,4.408799873,11.90960133
ACORN-J,2013,5,2.587998105,1.535211241,2.045446796,3.330255447,9.498911589
ACORN-J,2013,6,2.280529102,1.362455442,1.725483394,2.774446235,8.142914173
ACORN-J,2013,7,2.287615951,1.299303331,1.651555734,2.846696669,8.085171685
ACORN-J,2013,8,2.231018152,1.291910211,1.743897245,2.722655429,7.989481037
ACORN-J,2013,9,2.455177823,1.476462066,2.127945074,2.967871952,9.027456915
ACORN-J,2013,10,2.700750084,1.621745449,2.439372393,3.414321085,10.17618901
ACORN-J,2013,11,2.848885398,1.7533728,2.827996548,4.54724163,11.97749638
ACORN-J,2013,12,3.08389032,2.100880838,2.95854841,4.926672307,13.06999187
ACORN-K,2013,1,2.917403516,2.230169796,2.901136436,3.829618457,11.87832821
ACORN-K,2013,2,3.008864084,2.175242498,2.878948724,3.931538961,11.99459427
ACORN-K,2013,3,3.052779931,2.162718319,2.75716258,3.911399753,11.88406058
ACORN-K,2013,4,2.817433348,1.871416099,2.323379259,3.170849233,10.18307794
ACORN-K,2013,5,2.544252116,1.663555647,2.030298163,2.867607268,9.105713194
ACORN-K,2013,6,2.295970607,1.543484115,1.781773071,2.683459261,8.304687054
ACORN-K,2013,7,2.218636825,1.481535262,1.717243032,2.867535684,8.284950803
ACORN-K,2013,8,2.189182766,1.531199149,1.791437447,2.817490426,8.329309787
ACORN-K,2013,9,2.363888233,1.60441951,2.124050744,2.778277778,8.870636264
ACORN-K,2013,10,2.539517953,1.736027091,2.38270802,2.91699699,9.575250053
ACORN-K,2013,11,2.772723171,1.9577207,2.780726089,3.598726762,11.10989672
ACORN-K,2013,12,2.927276248,2.221224612,2.934529905,3.863054002,11.94608477
ACORN-L,2013,1,2.927825946,2.123301777,3.182302828,3.826408101,12.05983865
ACORN-L,2013,2,2.917607223,2.007688186,3.042860978,3.78705774,11.75521413
ACORN-L,2013,3,2.88091665,1.951768473,2.835052837,3.732781342,11.4005193
ACORN-L,2013,4,2.730190766,1.701477422,2.385833181,3.055973516,9.873474886
ACORN-L,2013,5,2.498426258,1.543798155,2.070445099,2.761468649,8.874138161
ACORN-L,2013,6,2.362328264,1.479813666,1.907106549,2.634818938,8.384067417
ACORN-L,2013,7,2.281024668,1.425274743,1.838054529,2.778543493,8.322897433
ACORN-L,2013,8,2.241138013,1.411033111,1.875054489,2.690463955,8.217689569
ACORN-L,2013,9,2.386537672,1.517677376,2.191385752,2.705749128,8.801349928
ACORN-L,2013,10,2.527197249,1.599057112,2.494110934,2.833250474,9.453615768
ACORN-L,2013,11,2.640355295,1.836267862,2.849294464,3.460745541,10.78666316
ACORN-L,2013,12,2.828136455,2.067613343,2.972890997,3.63631409,11.50495489
ACORN-M,2013,1,3.201377687,2.301260396,3.212622311,4.123210208,12.8384706
ACORN-M,2013,2,3.247688024,2.16200966,3.108179652,4.051728911,12.56960625
ACORN-M,2013,3,3.015602463,2.046954266,2.820055996,3.850239813,11.73285254
ACORN-M,2013,4,2.810131371,1.709954491,2.314587075,3.090104066,9.924777003
ACORN-M,2013,5,2.410641403,1.470185786,1.960375405,2.705774697,8.546977292
ACORN-M,2013,6,2.285593066,1.411881083,1.861800486,2.593954684,8.153229319
ACORN-M,2013,7,2.16392637,1.331583358,1.761772224,2.675356181,7.932638133
ACORN-M,2013,8,2.150867723,1.328827492,1.752671442,2.565232551,7.797599208
ACORN-M,2013,9,2.326060701,1.47820234,2.110607019,2.637091369,8.551961428
ACORN-M,2013,10,2.576222567,1.623882826,2.448779913,2.872902046,9.521787353
ACORN-M,2013,11,2.739651757,1.866785943,2.791784665,3.488360384,10.88658275
ACORN-M,2013,12,2.908487418,2.059491146,2.855852749,3.695501087,11.5193324
ACORN-N,2013,1,2.771445622,1.995003027,2.803003892,3.349016649,10.91846919
ACORN-N,2013,2,2.748027176,1.872523328,2.701034391,3.286416065,10.60800096
ACORN-N,2013,3,2.772273201,1.846696227,2.540700781,3.265006939,10.42467715
ACORN-N,2013,4,2.569230978,1.648193497,2.127626778,2.742038158,9.087089411
ACORN-N,2013,5,2.29464519,1.48603353,1.870798159,2.517000877,8.168477756
ACORN-N,2013,6,2.166152863,1.423652749,1.753177048,2.480666211,7.823648871
ACORN-N,2013,7,2.147924121,1.374960169,1.697380952,2.602343792,7.822609034
ACORN-N,2013,8,2.160450985,1.402962381,1.721807922,2.511717415,7.796938703
ACORN-N,2013,9,2.187715666,1.462807454,1.954798252,2.455110651,8.060432022
ACORN-N,2013,10,2.304487032,1.563937264,2.213110619,2.545206828,8.626741743
ACORN-N,2013,11,2.37308868,1.676192255,2.487788497,3.022896654,9.559966086
ACORN-N,2013,12,2.607898449,1.891433386,2.619154123,3.319001123,10.43748708
ACORN-O,2013,1,2.417814909,1.75198439,2.601752151,3.457099077,10.22865053
ACORN-O,2013,2,2.481016043,1.684741533,2.512479501,3.497059181,10.17529626
ACORN-O,2013,3,2.458577139,1.661368021,2.359481995,3.327911464,9.80733862
ACORN-O,2013,4,2.325439049,1.46314084,1.956598141,2.697554063,8.442732093
ACORN-O,2013,5,2.122248916,1.380225559,1.770885552,2.469664998,7.743025025
ACORN-O,2013,6,2.049346008,1.361549948,1.643441756,2.375587625,7.429925337
ACORN-O,2013,7,1.962715793,1.268971069,1.556867257,2.354653506,7.143207624
ACORN-O,2013,8,1.95344234,1.270543118,1.590102807,2.295038214,7.10912648
ACORN-O,2013,9,2.038738552,1.308969941,1.790077945,2.361537224,7.499323662
ACORN-O,2013,10,2.130851328,1.352016481,1.977810293,2.459746048,7.920424151
ACORN-O,2013,11,2.076482249,1.430744816,2.148743761,2.855657293,8.511628119
ACORN-O,2013,12,2.259385953,1.657125174,2.271531988,3.061728094,9.249771209
ACORN-P,2013,1,1.478604755,1.107452006,1.472512036,4.052835068,8.111403864
ACORN-P,2013,2,1.516699802,1.094112245,1.410260369,4.117066162,8.138138578
ACORN-P,2013,3,1.456648092,1.013299761,1.306919249,3.918038437,7.69490554
ACORN-P,2013,4,1.458357143,0.935899015,1.136458744,3.18215271,6.712867612
ACORN-P,2013,5,1.422771055,0.956290058,1.109554272,2.454167833,5.942783217
ACORN-P,2013,6,1.341494304,0.917883228,1.088198417,2.136019303,5.483595252
ACORN-P,2013,7,1.249643543,0.818620316,1.019633013,2.016973367,5.104870238
ACORN-P,2013,8,1.217174931,0.785668001,1.001209732,1.897385895,4.901438559
ACORN-P,2013,9,1.295113002,0.854839807,1.108538363,2.056747351,5.315238523
ACORN-P,2013,10,1.33061457,0.916296389,1.131574409,2.305042651,5.683528019
ACORN-P,2013,11,1.366604584,0.998082311,1.322086184,3.391706261,7.07847934
ACORN-P,2013,12,1.373823695,1.014579869,1.276020319,3.545547047,7.20997093
ACORN-Q,2013,1,2.053714676,1.576454549,2.118709929,3.064139597,8.81301875
ACORN-Q,2013,2,2.063871906,1.539361555,2.038736384,3.021737571,8.663707416
ACORN-Q,2013,3,2.061524264,1.517521579,1.957385013,2.993034903,8.529465758
ACORN-Q,2013,4,2.005984496,1.360024155,1.707252831,2.481381044,7.554642526
ACORN-Q,2013,5,1.875633197,1.237636954,1.528432952,2.241672887,6.88337599
ACORN-Q,2013,6,1.778002418,1.189441668,1.452097531,2.188039199,6.607580816
ACORN-Q,2013,7,1.724216384,1.143871462,1.417621473,2.274269672,6.559978991
ACORN-Q,2013,8,1.676122307,1.131860316,1.373042005,2.170352961,6.351377589
ACORN-Q,2013,9,1.788031041,1.21482089,1.590553067,2.194635424,6.788040422
ACORN-Q,2013,10,1.890851534,1.293563097,1.736806103,2.310791226,7.23201196
ACORN-Q,2013,11,1.923316119,1.395520894,1.921784012,2.735276917,7.975897941
ACORN-Q,2013,12,1.998127795,1.511659926,1.986372933,2.920302587,8.416463242
ACORN-U,2013,1,4.108265222,2.986983763,3.519803113,6.601776728,17.21682883
ACORN-U,2013,2,4.053656179,2.724146067,3.231316854,6.591704872,16.60082397
ACORN-U,2013,3,3.841721433,2.636357671,3.027156863,6.351102095,15.85633806
ACORN-U,2013,4,3.223392908,2.060643263,2.487847517,4.017898581,11.78978227
ACORN-U,2013,5,2.984832302,1.929810309,2.300037803,3.038868042,10.25354846
ACORN-U,2013,6,2.607101311,1.756935131,2.041202624,2.710376822,9.115615888
ACORN-U,2013,7,2.273284823,1.491388081,1.717085932,2.507685378,7.989444214
ACORN-U,2013,8,2.254607995,1.546140253,1.834691445,2.580002104,8.215441796
ACORN-U,2013,9,2.553824472,1.758104151,2.315123817,2.678432629,9.305485069
ACORN-U,2013,10,2.647099855,1.799333819,2.507271866,2.965043004,9.918748545
ACORN-U,2013,11,2.896021226,2.156006065,2.88521304,3.931673995,11.86891433
ACORN-U,2013,12,3.021386597,2.323301179,3.099338732,4.449952871,12.89397938